Unnamed: 0,Name,SMILES
3,ethylene glycol,OCCO
4,urea,NC(N)=O
9,hydrogen,[H]
12,choline chloride,[Cl-].C[N+](C)(C)CCO
15,des,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2
25,amide,[NH2-]
31,h2o,O
43,dry ice,O=C=O
51,hydroxyl,[OH-]
85,acetone,CC(C)=O
